Afghanistan,59.61,23.21,74.30,4.44,0.40,1.5171
Haiti,45.00,47.67,73.10,0.09,3.40,1.7999
Nigeria,51.30,38.23,82.60,1.07,4.10,2.4493
Egypt,70.48,26.58,19.60,1.86,5.30,2.8622
Argentina,75.77,32.30,13.30,0.76,10.10,2.9961
China,74.87,29.98,13.70,1.95,6.40,3.6356
Brazil,73.12,42.93,14.50,1.43,7.20,3.7741
Israel,81.30,28.80,3.60,6.77,12.50,5.8069
USA,78.51,29.85,6.30,4.72,13.70,7.1357
Ireland,80.15,27.23,3.50,0.60,11.50,7.5360
UK,80.09,28.49,4.40,2.59,13.00,7.7751
Germany,80.24,22.07,3.50,1.31,12.00,8.0461
Canada,80.99,24.79,4.90,1.42,14.20,8.6725
Australia,82.09,25.40,4.20,1.86,11.50,8.8442
Sweden,81.43,22.18,2.40,1.27,12.80,9.2985
New Zealand,80.67,27.81,4.90,1.13,12.30,9.4627
